id,name,symbol,datetime,price
1,BASF SE,BAS,2023/07/12 10:00,46.31
2,BASF SE,BAS,2023/07/12 12:00,46.67
3,BASF SE,BAS,2023/07/12 16:00,47.02
4,BASF SE,BAS,2023/07/13 10:00,46.35
5,BASF SE,BAS,2023/07/13 12:00,46.71
6,BASF SE,BAS,2023/07/13 16:00,46.49
7,BASF SE,BAS,2023/07/14 10:00,46.01
8,BASF SE,BAS,2023/07/14 12:00,45.74
9,BASF SE,BAS,2023/07/14 16:00,45.58
10,BASF SE,BAS,2023/07/17 10:00,45.16
11,BASF SE,BAS,2023/07/17 12:00,44.98
12,BASF SE,BAS,2023/07/17 16:00,45.14
13,BASF SE,BAS,2023/07/18 10:00,45.81
14,BASF SE,BAS,2023/07/18 16:00,46.07
15,BASF SE,BAS,2023/07/18 12:00,46.31
13,Solvay SA,SOLB,2023/07/12 10:00,104.45
14,Solvay SA,SOLB,2023/07/12 12:00,105.05
15,Solvay SA,SOLB,2023/07/12 16:00,105.85
16,Solvay SA,SOLB,2023/07/13 10:00,105.40
17,Solvay SA,SOLB,2023/07/13 12:00,106.20
18,Solvay SA,SOLB,2023/07/13 16:00,106.10
19,Solvay SA,SOLB,2023/07/14 10:00,104.25
20,Solvay SA,SOLB,2023/07/14 12:00,103.95
21,Solvay SA,SOLB,2023/07/14 16:00,103.50
22,Solvay SA,SOLB,2023/07/17 10:00,102.05
23,Solvay SA,SOLB,2023/07/17 12:00,101.45
24,Solvay SA,SOLB,2023/07/17 16:00,101.70
25,Solvay SA,SOLB,2023/07/18 10:00,101.90
26,Solvay SA,SOLB,2023/07/18 16:00,101.70
27,Solvay SA,SOLB,2023/07/18 12:00,101.85
25,Evonik Industries AG,EVK,2023/07/12 10:00,18.18
26,Evonik Industries AG,EVK,2023/07/12 12:00,18.48
27,Evonik Industries AG,EVK,2023/07/12 16:00,18.56
28,Evonik Industries AG,EVK,2023/07/13 10:00,18.46
29,Evonik Industries AG,EVK,2023/07/13 12:00,18.61
30,Evonik Industries AG,EVK,2023/07/13 16:00,18.61
31,Evonik Industries AG,EVK,2023/07/14 10:00,18.52
32,Evonik Industries AG,EVK,2023/07/14 12:00,18.42
33,Evonik Industries AG,EVK,2023/07/14 16:00,18.34
34,Evonik Industries AG,EVK,2023/07/17 10:00,18.18
35,Evonik Industries AG,EVK,2023/07/17 12:00,18.17
36,Evonik Industries AG,EVK,2023/07/17 16:00,18.23
37,Evonik Industries AG,EVK,2023/07/18 10:00,18.22
38,Evonik Industries AG,EVK,2023/07/18 16:00,18.27
39,Evonik Industries AG,EVK,2023/07/18 12:00,18.42
37,Exxon Mobil Corp,XONA,2023/07/12 10:00,95.98
38,Exxon Mobil Corp,XONA,2023/07/12 12:00,96.15
39,Exxon Mobil Corp,XONA,2023/07/12 16:00,96.77
40,Exxon Mobil Corp,XONA,2023/07/13 10:00,95.72
41,Exxon Mobil Corp,XONA,2023/07/13 12:00,95.34
42,Exxon Mobil Corp,XONA,2023/07/13 16:00,93.80
43,Exxon Mobil Corp,XONA,2023/07/14 10:00,92.69
44,Exxon Mobil Corp,XONA,2023/07/14 12:00,92.80
45,Exxon Mobil Corp,XONA,2023/07/14 16:00,91.10
46,Exxon Mobil Corp,XONA,2023/07/17 10:00,89.37
47,Exxon Mobil Corp,XONA,2023/07/17 12:00,89.71
48,Exxon Mobil Corp,XONA,2023/07/17 16:00,89.97
49,Exxon Mobil Corp,XONA,2023/07/18 10:00,89.90
50,Exxon Mobil Corp,XONA,2023/07/18 16:00,90.36
51,Exxon Mobil Corp,XONA,2023/07/18 12:00,89.43
49,3M Co,MMM,2023/07/12 10:00,92.43
50,3M Co,MMM,2023/07/12 12:00,92.70
51,3M Co,MMM,2023/07/12 16:00,93.22
52,3M Co,MMM,2023/07/13 10:00,92.17
53,3M Co,MMM,2023/07/13 12:00,91.73
54,3M Co,MMM,2023/07/13 16:00,90.96
55,3M Co,MMM,2023/07/14 10:00,91.79
56,3M Co,MMM,2023/07/14 12:00,91.33
57,3M Co,MMM,2023/07/14 16:00,91.21
58,3M Co,MMM,2023/07/17 10:00,91.00
59,3M Co,MMM,2023/07/17 12:00,91.17
60,3M Co,MMM,2023/07/17 16:00,90.65
61,3M Co,MMM,2023/07/18 10:00,90.40
62,3M Co,MMM,2023/07/18 16:00,90.51
63,3M Co,MMM,2023/07/18 12:00,91.30
